Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%)
2024-11-14 15:51:28,59.5,1.17,20.0
2024-11-14 15:51:29,59.5,1.53,20.0
2024-11-14 15:51:31,61.25,2.23,20.0
2024-11-14 15:51:32,62.25,1.58,20.0
2024-11-14 15:51:33,62.375,1.9,20.0
2024-11-14 15:51:34,64.0,2.94,20.0
2024-11-14 15:51:36,65.25,2.12,20.0
2024-11-14 15:51:37,65.5,2.79,20.0
2024-11-14 15:51:38,64.875,1.62,20.0
2024-11-14 15:51:40,63.375,0.86,20.0
2024-11-14 15:51:41,62.75,1.04,20.0
2024-11-14 15:51:42,62.25,0.97,20.0
2024-11-14 15:51:44,61.125,0.59,20.0
2024-11-14 15:51:45,60.75,0.91,20.0
2024-11-14 15:51:46,60.375,0.83,20.0
2024-11-14 15:51:48,60.125,0.92,20.0
2024-11-14 15:51:49,60.125,1.18,20.0
2024-11-14 15:51:50,60.5,1.15,20.0
2024-11-14 15:51:51,60.25,0.9,20.0
2024-11-14 15:51:53,59.75,0.82,20.0
2024-11-14 15:51:54,60.0,1.35,20.0
2024-11-14 15:51:55,59.75,1.05,20.0
2024-11-14 15:51:57,60.75,1.27,20.0
2024-11-14 15:51:58,61.125,1.37,20.0
2024-11-14 15:51:59,61.0,1.09,20.0
2024-11-14 15:52:01,60.875,0.85,20.0
2024-11-14 15:52:02,60.5,0.94,20.0
2024-11-14 15:52:03,60.25,0.85,20.0
2024-11-14 15:52:05,60.25,1.11,20.0
2024-11-14 15:52:06,60.75,1.34,20.0
2024-11-14 15:52:07,60.5,0.92,20.0
2024-11-14 15:52:08,60.25,0.95,20.0
2024-11-14 15:52:10,59.75,0.77,20.0
2024-11-14 15:52:11,59.75,1.3,20.0
2024-11-14 15:52:12,59.75,0.96,20.0
2024-11-14 15:52:14,59.5,0.7,20.0
2024-11-14 15:52:15,59.5,0.97,20.0
2024-11-14 15:52:16,59.375,0.93,20.0
2024-11-14 15:52:18,59.5,1.28,20.0
2024-11-14 15:52:19,59.625,1.2,20.0
2024-11-14 15:52:20,59.625,0.93,20.0
2024-11-14 15:52:22,59.75,1.17,20.0
2024-11-14 15:52:23,59.375,1.03,20.0
2024-11-14 15:52:24,60.625,1.56,20.0
2024-11-14 15:52:25,60.75,1.17,20.0
2024-11-14 15:52:27,61.25,0.85,20.0
2024-11-14 15:52:28,60.875,1.03,20.0
2024-11-14 15:52:29,61.5,1.48,20.0
2024-11-14 15:52:31,61.75,1.07,20.0
2024-11-14 15:52:32,61.875,1.18,20.0
2024-11-14 15:52:33,62.0,0.98,20.0
2024-11-14 15:52:35,61.625,0.71,20.0
2024-11-14 15:52:36,61.0,1.39,20.0
2024-11-14 15:52:37,61.25,1.05,20.0
2024-11-14 15:52:38,61.625,1.12,20.0
2024-11-14 15:52:40,61.25,1.19,20.0
2024-11-14 15:52:41,61.375,1.01,20.0
2024-11-14 15:52:42,61.0,0.95,20.0
2024-11-14 15:52:44,60.25,0.92,20.0
2024-11-14 15:52:45,60.0,1.18,20.0
2024-11-14 15:52:46,59.75,1.01,20.0
2024-11-14 15:52:48,59.5,0.83,20.0
2024-11-14 15:52:49,59.0,1.2,20.0
2024-11-14 15:52:50,59.25,1.04,20.0
2024-11-14 15:52:52,59.125,1.29,20.0
2024-11-14 15:52:53,58.5,1.13,20.0
2024-11-14 15:52:54,58.375,0.72,20.0
2024-11-14 15:52:55,58.25,1.29,20.0
2024-11-14 15:52:57,57.75,0.93,20.0
2024-11-14 15:52:58,57.625,0.75,20.0
2024-11-14 15:52:59,57.75,1.35,20.0
2024-11-14 15:53:01,57.375,0.85,20.0
2024-11-14 15:53:02,58.875,2.09,20.0
2024-11-14 15:53:03,61.125,2.49,20.0
2024-11-14 15:53:05,61.375,1.12,20.0
2024-11-14 15:53:06,61.25,1.94,20.0
2024-11-14 15:53:07,61.125,1.81,20.0
2024-11-14 15:53:09,59.875,1.04,20.0
2024-11-14 15:53:10,59.375,1.42,20.0
2024-11-14 15:53:11,59.75,1.69,20.0
2024-11-14 15:53:13,59.625,1.35,20.0
2024-11-14 15:53:14,58.375,1.11,20.0
2024-11-14 15:53:15,57.875,1.04,20.0
2024-11-14 15:53:17,57.5,1.1,20.0
2024-11-14 15:53:18,56.75,1.36,20.0
2024-11-14 15:53:19,56.5,1.16,20.0
2024-11-14 15:53:21,56.25,0.92,20.0
2024-11-14 15:53:22,55.5,1.02,20.0
2024-11-14 15:53:23,55.25,0.84,20.0
2024-11-14 15:53:24,55.25,1.03,20.0
2024-11-14 15:53:26,54.625,0.76,20.0
2024-11-14 15:53:27,54.625,1.11,20.0
2024-11-14 15:53:28,54.75,1.39,20.0
2024-11-14 15:53:30,54.125,0.61,20.0
2024-11-14 15:53:31,54.125,1.13,20.0
2024-11-14 15:53:32,54.0,0.81,20.0
2024-11-14 15:53:34,54.125,0.93,20.0
2024-11-14 15:53:35,54.875,1.35,20.0
2024-11-14 15:53:36,55.0,1.16,20.0
2024-11-14 15:53:37,55.875,1.86,20.0
2024-11-14 15:53:39,55.5,0.95,20.0
2024-11-14 15:53:40,55.125,1.01,20.0
2024-11-14 15:53:41,54.75,0.92,20.0
2024-11-14 15:53:43,54.125,0.97,20.0
2024-11-14 15:53:44,54.125,1.34,20.0
2024-11-14 15:53:45,54.25,1.49,20.0
2024-11-14 15:53:47,54.5,1.39,20.0
2024-11-14 15:53:48,54.25,1.12,20.0
2024-11-14 15:53:49,54.0,1.16,20.0
2024-11-14 15:53:51,54.0,0.94,20.0
2024-11-14 15:53:52,54.625,0.94,20.0
2024-11-14 15:53:53,54.25,1.22,20.0
2024-11-14 15:53:54,53.875,0.95,20.0
2024-11-14 15:53:56,53.25,0.7,21.0
2024-11-14 15:53:57,53.0,1.01,21.0
2024-11-14 15:53:58,52.875,0.83,21.0
2024-11-14 15:54:00,52.25,0.7,22.0
